full_name,ssn,date_of_birth,gender,street,city,state,zip_code,prior_addresses,accounts,name_variations,phones,notes,expected_fico_range
Michael James Thornton,512-67-4391,03/14/1982,male,4821 Maple Ridge Dr,Richmond,VA,23225,112 Oak Street Apt 3B|Alexandria|VA|22301;9003 River Bend Blvd|Richmond|VA|23230;2218 Monument Ave|Richmond|VA|23220,"CHASE BANK USA NA|Credit Card|5885507960204892|Open|$2,340|$15,000|$3,159||04/2015;TOYOTA MOTOR CREDIT|Auto Loan|5522919425237731|Open|$14,880|$28,500|$20,088|312|09/2021;PENNYMAC LOAN SERVICES|Mortgage|6385286501849910|Open|$187,440|$210,000|$253,044|1,007|03/2018;CAPITAL ONE BANK|Credit Card|5025575056695514|Open|$780|$5,000|$1,053||11/2018;REGIONS BANK|Personal Loan|5418593619702201|Open|$8,400|$10,000|$11,340|210|06/2020;DISCOVER BANK|Credit Card|1278740410271104|Open|$430|$6,000|$580||07/2019;FIRST NATIONAL BANK|Credit Card|6433525921107710|Open|$1,560|$7,500|$2,106||08/2016;AMERICAN EXPRESS|Credit Card|2995006950273391|Open|$1,100|$12,000|$1,485||03/2020;BANK OF AMERICA|Credit Card|7120242769100023|Closed|$0|$8,000|$0||01/2012",,804-555-0142,Thornton â€” all fields match across all bureaus,740-799
Sarah Elizabeth Kowalski,284-55-9017,11/30/1989,female,930 Lakeview Terrace,Chicago,IL,60614,7 West Monroe St|Chicago|IL|60603;4412 N Clark Street Apt 2|Chicago|IL|60640;1800 W Roscoe St|Chicago|IL|60657;500 W Superior St Unit 1104|Chicago|IL|60654,"DISCOVER BANK|Credit Card|1430382391423381|Open|$5,120|$12,000|$6,912||06/2016;SALLIE MAE|Student Loan|4913085955728802|Open|$22,400|$35,000|$30,240|246|08/2011;UNITED WHOLESALE MORTGAGE|Mortgage|9724665132073301|Open|$301,500|$325,000|$407,025|1,559|11/2020;AMERICAN EXPRESS|Credit Card|3990133369879940|Open|$1,890|$10,000|$2,551||02/2020;NAVIENT SOLUTIONS|Student Loan|6423294544861193|Open|$18,750|$30,000|$25,312|206|08/2011;CITIZENS BANK NA|Personal Loan|4769754743424421|Open|$6,200|$8,000|$8,370|155|01/2022;KOHLS DEPARTMENT STORE|Credit Card|2782961346978813|Open|$240|$1,500|$324||09/2018;ALLY FINANCIAL|Auto Loan|1118165711605590|Closed|$0|$18,000|$0|0|06/2017",Sarah Kowalski-Davis,312-555-0198,Kowalski â€” all fields match,740-799
David Emmanuel Okonkwo,631-44-7820,06/22/1991,male,2205 Peachtree Rd NE Suite 400,Atlanta,GA,30309,88 Spring Street SW|Atlanta|GA|30303;741 Moreland Ave SE|Atlanta|GA|30316;3180 Pharr Court NW Apt 12|Atlanta|GA|30305,"CITIBANK NA|Credit Card|0376865310202256|Open|$3,450|$20,000|$4,657||07/2014;BMW FINANCIAL SERVICES|Auto Loan|0400554411930987|Open|$28,100|$45,000|$37,935|590|03/2023;ROUNDPOINT MORTGAGE|Mortgage|9617994101181147|Open|$243,800|$265,000|$329,130|1,272|07/2019;SYNCHRONY BANK|Credit Card|7586675606927743|Derogatory|$4,200|$6,000|$5,670||05/2017;TRUIST BANK|Personal Loan|5060984893896614|Open|$12,300|$15,000|$16,605|307|08/2022;PORTFOLIO RECOVERY|Collection|0080031839023312|Open|$1,150||$1,552|0|09/2021;MIDLAND CREDIT MANAGEMENT|Collection|6811187366330034|Open|$680||$918|0|02/2022",,404-555-0177,Okonkwo â€” DOB mismatch (1990 on all reports vs 1991 on application),580-669
Jennifer Lynn Castellano,408-31-6754,07/04/1975,female,8802 Sunset Blvd Apt 3,Los Angeles,CA,90069,1244 Vine St Apt 8|Hollywood|CA|90028,"WELLS FARGO BANK NA|Credit Card|9574392494597741|Open|$1,840|$8,000|$2,484||03/2018;ALLY FINANCIAL|Auto Loan|9431383686342213|Open|$12,400|$22,000|$16,740|260|04/2022;NAVIENT SOLUTIONS|Student Loan|9484726398268801|Open|$31,200|$45,000|$42,120|343|08/2013;SYNCHRONY BANK|Credit Card|9867552781154490|Open|$620|$3,000|$837||11/2019;CHASE BANK USA NA|Credit Card|6383188335980014|Open|$2,110|$10,000|$2,848||06/2016;FIRST REPUBLIC BANK|Personal Loan|4134479228693302|Closed|$0|$5,000|$0|0|09/2020;COMENITY BANK|Credit Card|3575055353769923|Open|$440|$2,000|$594||01/2021;BANK OF AMERICA|Credit Card|5023890776455517|Closed|$0|$6,000|$0||07/2014",,323-555-0188,Castellano â€” address mismatch (report has old Hollywood address) + unknown address (422 N Cahuenga),670-739
Robert T. Nguyen,773-88-2245,12/19/1968,male,147 Beach Ave,Newport Beach,CA,92661,2201 Harbor Blvd Apt 5D|Costa Mesa|CA|92627;88 Balboa Island Rd|Newport Beach|CA|92662,"BANK OF AMERICA|Credit Card|6331515014123321|Open|$4,200|$25,000|$5,670||02/2005;WELLS FARGO BANK NA|Mortgage|6148534222760041|Open|$412,000|$550,000|$556,200|2,639|05/2014;TOYOTA MOTOR CREDIT|Auto Loan|6866088536706612|Open|$22,800|$38,000|$30,780|478|01/2022;AMERICAN EXPRESS|Credit Card|4745604581095503|Open|$3,100|$20,000|$4,185||09/2008;US BANK|Credit Card|7681669374428814|Open|$890|$10,000|$1,201||07/2011;CHARLES SCHWAB BANK|Credit Card|4765239512377780|Open|$1,200|$15,000|$1,620||11/2019;CAPITAL ONE BANK|Credit Card|4621980527782290|Closed|$0|$5,000|$0||03/2015",Bob Nguyen,949-555-0103,Nguyen â€” all fields match,740-799
Priya Subramaniam,556-29-4103,02/28/1994,female,2040 Main St Suite 200,Irvine,CA,92614,19200 Von Karman Ave|Irvine|CA|92612;14 Terrapin Way|Aliso Viejo|CA|92656,"DISCOVER BANK|Credit Card|6201007749834411|Open|$2,200|$8,000|$2,970||05/2019;SALLIE MAE|Student Loan|5383049415646630|Open|$28,400|$40,000|$38,340|312|08/2016;HONDA FINANCIAL SVCS|Auto Loan|7918723850219901|Open|$11,200|$24,000|$15,120|235|10/2021;CHASE BANK USA NA|Credit Card|1922319675963372|Open|$1,100|$6,000|$1,485||07/2020;COMENITY BANK|Credit Card|7442108105488813|Open|$180|$1,500|$243||11/2020;FIRST TECH CREDIT UNION|Credit Card|6939443954952201|Closed|$0|$3,000|$0||01/2022;PAYPAL CREDIT|Credit Card|6732944736407744|Open|$340|$2,500|$459||03/2021",,949-555-0221,Subramaniam â€” all fields match,740-799
Marcus D. Williams,319-74-8890,09/09/1986,male,3300 Pecos St,Denver,CO,80211,4815 W 38th Ave|Denver|CO|80212;1550 Larimer St Apt 312|Denver|CO|80202,"CREDIT ONE BANK|Credit Card|5610573330575512|Open|$880|$3,500|$1,188||04/2017;GM FINANCIAL|Auto Loan|5088442282534401|Open|$18,400|$32,000|$24,840|386|06/2021;FIRST BANK|Mortgage|0671775609908830|Open|$278,000|$310,000|$375,300|1,487|08/2019;SYNCHRONY BANK|Credit Card|9592625897802293|Derogatory|$2,800|$4,000|$3,780||03/2018;CAPITAL ONE BANK|Credit Card|0865274958050044|Open|$1,200|$5,000|$1,620||01/2020;MIDLAND CREDIT MGMT|Collection|3684860909457701|Open|$950||$1,282|0|11/2022;JEFFERSON CAPITAL SYSTEMS|Collection|9401853219853312|Open|$680||$918|0|05/2023",Marc Williams,720-555-0167,Williams â€” all fields match,580-669
Emily Rose Hartmann,642-16-3377,05/17/1990,female,550 Park Ave Apt 12C,New York,NY,10065,211 E 70th St Apt 4A|New York|NY|10021;88 Morningside Dr|New York|NY|10027,"CHASE BANK USA NA|Credit Card|5389099046381192|Open|$3,400|$15,000|$4,590||03/2016;AMERICAN EXPRESS|Credit Card|4464967367028801|Open|$7,200|$25,000|$9,720||11/2013;CITIBANK NA|Mortgage|0863746817554490|Open|$680,000|$780,000|$918,000|3,743|06/2020;SALLIE MAE|Student Loan|4280935444627723|Open|$14,500|$22,000|$19,575|159|08/2012;DISCOVER BANK|Credit Card|9273999646096614|Open|$1,100|$7,500|$1,485||09/2018;MARCUS BY GOLDMAN|Personal Loan|1448660899033301|Closed|$0|$8,000|$0|0|10/2021;WELLS FARGO BANK NA|Credit Card|8238100896670044|Open|$900|$5,000|$1,215||07/2019",,212-555-0144,Hartmann â€” all fields match,740-799
Carlos Alberto Reyes,487-63-1029,10/31/1979,male,6721 SW 8th St,Miami,FL,33144,1400 S Bayshore Dr|Miami|FL|33131,"REGIONS BANK|Credit Card|7036529841266613|Open|$2,100|$9,000|$2,835||08/2014;NISSAN MOTOR ACCEPT|Auto Loan|1123213965013302|Open|$16,800|$28,000|$22,680|352|03/2022;TRUIST BANK|Mortgage|1922607635327740|Open|$198,000|$220,000|$267,300|1,056|04/2017;SYNCHRONY BANK|Credit Card|2254636575324421|Derogatory|$3,600|$5,000|$4,860||01/2019;DISCOVER BANK|Credit Card|1239948527591193|Open|$580|$3,500|$783||12/2020;PORTFOLIO RECOVERY|Collection|5355099031638812|Open|$1,400||$1,890|0|06/2023;CAPITAL ONE BANK|Credit Card|2619958730629902|Closed|$0|$4,500|$0||07/2016",,305-555-0192,Reyes â€” address mismatch (report shows Doral address) + unknown address (9200 NW 36th St),580-669
Aisha Monique Jackson,924-55-6612,01/08/2000,female,1204 Elm Street NW,Washington,DC,20001,3300 16th St NW Apt 2|Washington|DC|20010;800 Columbia Rd NW|Washington|DC|20009,"CAPITAL ONE BANK|Credit Card|3803111119303301|Open|$840|$4,000|$1,134||06/2021;SALLIE MAE|Student Loan|8153931131837712|Open|$18,200|$28,000|$24,570|200|08/2018;HONDA FINANCIAL SVCS|Auto Loan|9124812820675544|Open|$9,600|$19,000|$12,960|201|11/2022;DISCOVER BANK|Credit Card|6850224172448890|Open|$320|$2,000|$432||03/2022;NAVY FEDERAL CU|Credit Card|7892120709711123|Open|$650|$5,000|$877||09/2021",,202-555-0155,Jackson â€” all fields match,670-739
